Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked,Neighborhood
Butch,Mixed Breed,POINT (-71.1328 42.3989),42.39890,-71.13280,North Cambridge
Baxter,Mixed Breed,POINT (-71.1186 42.3814),42.38140,-71.11860,Neighborhood Nine
Bodhi,Golden Retriever,POINT (-71.1308 42.3998),42.39980,-71.13080,North Cambridge
Ocean,Pug,POINT (-71.1087 42.3726),42.37260,-71.10870,Mid-Cambridge
Coco,Pug,POINT (-71.1022 42.361),42.36100,-71.10220,Cambridgeport
Brio,LABRADOODLE,POINT (-71.1262 42.3892),42.38920,-71.12620,Neighborhood Nine
Jolene Almeida,German Shorthaired Pointer,POINT (-71.0896 42.368),42.36800,-71.08960,Wellington-Harrington
Ruger,Labrador Retriever,POINT (-71.1353 42.3932),42.39320,-71.13530,North Cambridge
FLASH,Border Collie,POINT (-71.1305 42.3981),42.39810,-71.13050,North Cambridge
Leo,French Bulldog,POINT (-71.1415 42.3902),42.39020,-71.14150,Neighborhood Nine
Emma,Mixed Breed,POINT (-71.1247 42.3767),42.37670,-71.12470,West Cambridge
Georgie,Lhasa Apso,POINT (-71.1433 42.3752),42.37520,-71.14330,West Cambridge
Luka,Labrador Retriever,POINT (-71.1546 42.3809),42.38090,-71.15460,Strawberry Hill
Budderball,Mixed Breed,POINT (-71.1308 42.3912),42.39120,-71.13080,North Cambridge
Siena,Mixed Breed,POINT (-71.1492 42.401),42.40100,-71.14920,North Cambridge
Maggie,Belgian Malinois,POINT (-71.131 42.3903),42.39030,-71.13100,North Cambridge
Bruce,Mixed Breed,POINT (-71.1205 42.3849),42.38490,-71.12050,Baldwin
Kimber,Shih Tzu,POINT (-71.1172 42.3783),42.37830,-71.11720,Baldwin
Peekaboo Shin,Shih Tzu,POINT (-71.1003 42.3759),42.37590,-71.10030,Wellington-Harrington
Bella,Goldendoodle,POINT (-71.088 42.3752),42.37520,-71.08800,Wellington-Harrington
Coco,Pekingese,POINT (-71.1135 42.3801),42.38010,-71.11350,Baldwin
Fitz,Pomsky,POINT (-71.1191 42.382),42.38200,-71.11910,Neighborhood Nine
Ziggy,French Bulldog,POINT (-71.1326 42.3924),42.39240,-71.13260,North Cambridge
Willow,Goldendoodle,POINT (-71.1071 42.3554),42.35540,-71.10710,Cambridgeport
Frankie,Goldendoodle,POINT (-71.1006 42.3715),42.37150,-71.10060,The Port
Monty,Jack Russell Terrier,POINT (-71.1336 42.3762),42.37620,-71.13360,West Cambridge
Whitney,Lab Coonhound Mix,POINT (-71.1052 42.3612),42.36120,-71.10520,Cambridgeport
Zumi,Mixed Breed,POINT (-71.075 42.3691),42.36910,-71.07500,East Cambridge
Suki,Mixed Breed,POINT (-71.1225 42.3801),42.38010,-71.12250,Neighborhood Nine
Mia Glick,Havanese,POINT (-71.1328 42.3856),42.38560,-71.13280,Neighborhood Nine
MAGGIE,LABRADOR RETREIVER,POINT (-71.1305 42.3831),42.38310,-71.13050,Neighborhood Nine
TAXI,Cocker Spaniel,POINT (-71.1507 42.3774),42.37740,-71.15070,Strawberry Hill
Bruce,Aussie-Doodle,POINT (-71.0994 42.3603),42.36030,-71.09940,Cambridgeport
Maggie,Mixed Breed,POINT (-71.0798 42.3697),42.36970,-71.07980,East Cambridge
Bubbles,Golden Retriever,POINT (-71.1285 42.3854),42.38540,-71.12850,Neighborhood Nine
Yoshi,Mixed Breed,POINT (-71.0843 42.3638),42.36380,-71.08430,East Cambridge
Waffles,Mixed Breed,POINT (-71.0983 42.3672),42.36720,-71.09830,The Port
Riley,Mixed Breed,POINT (-71.1244 42.3824),42.38240,-71.12440,Neighborhood Nine
Stitch,Goldendoodle,POINT (-71.1174 42.3838),42.38380,-71.11740,Baldwin
CLEA,Jack Russel Terrier,POINT (-71.1363 42.3784),42.37840,-71.13630,West Cambridge
Beau,mountain cur,POINT (-71.1076 42.3703),42.37030,-71.10760,Mid-Cambridge
Bubby,Mixed Breed,POINT (-71.1448 42.391),42.39100,-71.14480,Cambridge Highlands
Roux,Cairn Teriier,POINT (-71.1069 42.3621),42.36210,-71.10690,Cambridgeport
Teddy,Mixed Breed,POINT (-71.1142 42.3615),42.36150,-71.11420,Cambridgeport
Olive,Wirehaired Pointing Griffon,POINT (-71.0996 42.3695),42.36950,-71.09960,The Port
SIMON,Miniature Dachshund,POINT (-71.1052 42.368),42.36800,-71.10520,Mid-Cambridge
Queenie,Labrador Retriever,POINT (-71.1319 42.3823),42.38230,-71.13190,Neighborhood Nine
Gus Manchester-Ennis,Golden Retriever,POINT (-71.1038 42.3697),42.36970,-71.10380,Mid-Cambridge
Luc Jean Sparandara,Poodle,POINT (-71.0953 42.3654),42.36540,-71.09530,The Port
Max,Mixed Breed,POINT (-71.0806 42.3663),42.36630,-71.08060,East Cambridge
Luna,West Highland White Terrier,POINT (-71.098 42.3719),42.37190,-71.09800,The Port
Vasuki,Labrador Retriever,POINT (-71.0892 42.364),42.36400,-71.08920,Area 2/MIT
Maple,Labradoodle,POINT (-71.1186 42.3831),42.38310,-71.11860,Neighborhood Nine
Lily,French Bulldog,POINT (-71.1111 42.382),42.38200,-71.11110,Baldwin
Zeus,Rottweiler,POINT (-71.114 42.3633),42.36330,-71.11400,Riverside
Kolsch,Miniature Schnauzer,POINT (-71.1099 42.3692),42.36920,-71.10990,Riverside
Frances,Cavapoo,POINT (-71.1049 42.3587),42.35870,-71.10490,Cambridgeport
Cody,Mixed Breed,POINT (-71.1358 42.4008),42.40080,-71.13580,North Cambridge
Bailey,Mixed Breed,POINT (-71.1101 42.3697),42.36970,-71.11010,Mid-Cambridge
Gus,Boston Terrier,POINT (-71.0849 42.3714),42.37140,-71.08490,East Cambridge
Apollo,Mixed Breed,POINT (-71.0928 42.3739),42.37390,-71.09280,Wellington-Harrington
Duang,Shiba Inu,POINT (-71.0733 42.3729),42.37290,-71.07330,East Cambridge
Millie,Clumber Spaniel,POINT (-71.1351 42.3986),42.39860,-71.13510,North Cambridge
DOTTIE,Hound Mix,POINT (-71.1283 42.375),42.37500,-71.12830,West Cambridge
Louis (formerly Bently),Mixed Breed,POINT (-71.1059 42.3756),42.37560,-71.10590,Mid-Cambridge
Lucy,Mixed Breed,POINT (-71.0883 42.3712),42.37120,-71.08830,Wellington-Harrington
Comet,Mixed Breed,POINT (-71.1119 42.3664),42.36640,-71.11190,Riverside
winston,Soft Coated Wheaten Terrier,POINT (-71.12 42.3822),42.38220,-71.12000,Neighborhood Nine
Lacy,Blue Lacy,POINT (-71.1375 42.3791),42.37910,-71.13750,West Cambridge
Moose,Mixed Breed,POINT (-71.1445 42.3916),42.39160,-71.14450,Cambridge Highlands
Leo,Cockapoo,POINT (-71.1396 42.371),42.37100,-71.13960,West Cambridge
Peaches,Mixed Breed,POINT (-71.119 42.3787),42.37870,-71.11900,Neighborhood Nine
Boo,Mixed Breed,POINT (-71.1193 42.3852),42.38520,-71.11930,Baldwin
Terra,Mixed Breed,POINT (-71.1558 42.3933),42.39330,-71.15580,Cambridge Highlands
Godot,Tibetan Terrier,POINT (-71.127 42.3989),42.39890,-71.12700,North Cambridge
CHLOE,Schnauzer Mix,POINT (-71.0776 42.3723),42.37230,-71.07760,East Cambridge
Juno,Mixed Breed,POINT (-71.1309 42.396),42.39600,-71.13090,North Cambridge
MILEY,Shih Tzu,POINT (-71.1317 42.3835),42.38350,-71.13170,Neighborhood Nine
Lucy Schwert,Golden Retriever,POINT (-71.1061 42.3672),42.36720,-71.10610,Riverside
Bowie,Labradoodle,POINT (-71.1307 42.3977),42.39770,-71.13070,North Cambridge
DUSTY,Chihuahua Mix,POINT (-71.1494 42.3777),42.37770,-71.14940,Strawberry Hill
Eliette (Elie),Mixed Breed,POINT (-71.1456 42.3891),42.38910,-71.14560,Cambridge Highlands
Yuko Gilbert,Great Pyrenees,POINT (-71.1089 42.3618),42.36180,-71.10890,Cambridgeport
Penny,Dogo Argentino,POINT (-71.1128 42.3703),42.37030,-71.11280,Riverside
Nellie,Terrier  Mix,POINT (-71.1214 42.3876),42.38760,-71.12140,Neighborhood Nine
Luna,Labrador Retriever,POINT (-71.13 42.3891),42.38910,-71.13000,North Cambridge
Mika,Border Terrier,POINT (-71.1245 42.378),42.37800,-71.12450,Neighborhood Nine
Mila,Mixed Breed,POINT (-71.1068 42.3655),42.36550,-71.10680,Cambridgeport
Zoey Zeitler,Golden Retriever,POINT (-71.1005 42.3616),42.36160,-71.10050,The Port
Kristoff,POMERANIAN   X,POINT (-71.0995 42.3742),42.37420,-71.09950,Wellington-Harrington
Maya,German Shepard Mix,POINT (-71.1264 42.386),42.38600,-71.12640,Neighborhood Nine
Darwin,Mutt,POINT (-71.1539 42.3806),42.38060,-71.15390,Strawberry Hill
Yves,Labrador Retriever,POINT (-71.0893 42.363),42.36300,-71.08930,Area 2/MIT
Arlie,Mixed Breed,POINT (-71.0937 42.3728),42.37280,-71.09370,Wellington-Harrington
Duncan,Husky Mix,POINT (-71.11 42.3682),42.36820,-71.11000,Riverside
Mookie,Bernedoodle,POINT (-71.1287 42.3957),42.39570,-71.12870,North Cambridge
Ruby,Collie,POINT (-71.1227 42.3881),42.38810,-71.12270,Neighborhood Nine
Doolin,Golden Doodle,POINT (-71.15 42.3755),42.37550,-71.15000,Strawberry Hill
Bear,Pomeranian,POINT (-71.138 42.384),42.38400,-71.13800,West Cambridge
Lucy,Labrador Retriever,POINT (-71.1224 42.3881),42.38810,-71.12240,North Cambridge
Susie,Dachshund,POINT (-71.1561 42.3908),42.39080,-71.15610,Cambridge Highlands
Scout,Beagle,POINT (-71.1304 42.3742),42.37420,-71.13040,West Cambridge
Niko,Mixed Breed,POINT (-71.0864 42.373),42.37300,-71.08640,East Cambridge
Takibi,Shiba Inu,POINT (-71.1264 42.3816),42.38160,-71.12640,West Cambridge
Daisy,Mini poodle,POINT (-71.105 42.3676),42.36760,-71.10500,Mid-Cambridge
Gus Domanico,Mixed Breed,POINT (-71.1074 42.3553),42.35530,-71.10740,Cambridgeport
JAKE,French Bulldog,POINT (-71.1248 42.3845),42.38450,-71.12480,Neighborhood Nine
Millie,Bernedoodle,POINT (-71.093 42.3679),42.36790,-71.09300,The Port
Ruby,Boxer X,POINT (-71.1412 42.3835),42.38350,-71.14120,West Cambridge
Lillie,Beagle,POINT (-71.1081 42.3814),42.38140,-71.10810,Baldwin
Shadow,Doberman Pinscher,POINT (-71.1119 42.3709),42.37090,-71.11190,Mid-Cambridge
Ellie Jelly Belly K,Chocolate Lab,POINT (-71.1087 42.3545),42.35450,-71.10870,Cambridgeport
CHADWICK,Mix,POINT (-71.1056 42.367),42.36700,-71.10560,Mid-Cambridge
Anabelle,Miniature Schnauzer,POINT (-71.1235 42.3886),42.38860,-71.12350,Neighborhood Nine
Brady Carr,English Setter,POINT (-71.076 42.3702),42.37020,-71.07600,East Cambridge
Eli,Mixed Breed,POINT (-71.148 42.3793),42.37930,-71.14800,West Cambridge
Scout,Mixed Breed,POINT (-71.1209 42.3892),42.38920,-71.12090,North Cambridge
Celeste,Havanese,POINT (-71.1218 42.387),42.38700,-71.12180,Neighborhood Nine
Pepper,Mixed,POINT (-71.0892 42.3742),42.37420,-71.08920,Wellington-Harrington
Callie,Beagle  Mix,POINT (-71.1136 42.3653),42.36530,-71.11360,Riverside
Pesto,Mixed Breed,POINT (-71.1125 42.367),42.36700,-71.11250,Riverside
ARCHIE,Golden  Retriever,POINT (-71.1538 42.3922),42.39220,-71.15380,Cambridge Highlands
Scout,Mixed Breed,POINT (-71.1453 42.3931),42.39310,-71.14530,Cambridge Highlands
Stormi,Dachshund,POINT (-71.104 42.3683),42.36830,-71.10400,Mid-Cambridge
Toby,Bichon Frise,POINT (-71.1176 42.3765),42.37650,-71.11760,Baldwin
Olive,Mixed Breed,POINT (-71.142 42.3764),42.37640,-71.14200,West Cambridge
Kona,Cavalier King Charles Spaniel,POINT (-71.1293 42.3867),42.38670,-71.12930,Neighborhood Nine
Luna,Labrador Retriever,POINT (-71.1095 42.3612),42.36120,-71.10950,Cambridgeport
Miss Merrimack /“Merry”,Cairn Terrier,POINT (-71.1246 42.3936),42.39360,-71.12460,North Cambridge
Livvy,Border Collie,POINT (-71.1426 42.3746),42.37460,-71.14260,West Cambridge
WOOSTER,English Cocker Spaniel,POINT (-71.1307 42.3867),42.38670,-71.13070,Neighborhood Nine
Sophie,Bernedoodle,POINT (-71.1384 42.3912),42.39120,-71.13840,North Cambridge
Penny,Border Terrier,POINT (-71.1146 42.3837),42.38370,-71.11460,Baldwin
Honey,Mixed Breed,POINT (-71.1314 42.3893),42.38930,-71.13140,Neighborhood Nine
Treasure,Golden Retriever,POINT (-71.1438 42.3742),42.37420,-71.14380,West Cambridge
Fluffy,Goldendoodle,POINT (-71.0977 42.3683),42.36830,-71.09770,The Port
AMIE,Chihuahua  Mix,POINT (-71.1507 42.3752),42.37520,-71.15070,Strawberry Hill
Mildred,Rottweiler,POINT (-71.129 42.3861),42.38610,-71.12900,Neighborhood Nine
Láska,American Eskimo Dog,POINT (-71.0839 42.3723),42.37230,-71.08390,East Cambridge
Dax,Labrador Retriever,POINT (-71.0802 42.3665),42.36650,-71.08020,East Cambridge
Oki,Mixed Breed,POINT (-71.1044 42.3724),42.37240,-71.10440,Mid-Cambridge
BEAR,SCHNOODLE,POINT (-71.1242 42.3792),42.37920,-71.12420,Neighborhood Nine
Millie,Beagle,POINT (-71.1327 42.3897),42.38970,-71.13270,Neighborhood Nine
Baltie,Goldendoodle,POINT (-71.1214 42.3861),42.38610,-71.12140,Neighborhood Nine
MICKEY,Labrador Retriever X,POINT (-71.1347 42.3834),42.38340,-71.13470,West Cambridge
Edgar,Nova Scotia Duck Tolling Retriever,POINT (-71.1116 42.3618),42.36180,-71.11160,Cambridgeport
Cooper,Mixed Breed,POINT (-71.1468 42.3903),42.39030,-71.14680,Cambridge Highlands
Cricket,Labrador Retriever,POINT (-71.0862 42.3681),42.36810,-71.08620,East Cambridge
Maisie,Golden Retriever,POINT (-71.134 42.3805),42.38050,-71.13400,West Cambridge
Bonnie,Labrador Retriever,POINT (-71.1367 42.3895),42.38950,-71.13670,Neighborhood Nine
Stella,Mixed Breed,POINT (-71.1409 42.3807),42.38070,-71.14090,West Cambridge
Yoshi,Siberian Husky,POINT (-71.1533 42.3943),42.39430,-71.15330,Cambridge Highlands
Feta,Samoyed,POINT (-71.1064 42.3689),42.36890,-71.10640,Mid-Cambridge
Belinda,LABRADOODLE,POINT (-71.1385 42.3874),42.38740,-71.13850,Neighborhood Nine
TATOO,Beagle X,POINT (-71.1133 42.3842),42.38420,-71.11330,Baldwin
Oggie,Dachshund,POINT (-71.1193 42.3706),42.37060,-71.11930,Riverside
Violet,Mixed Breed,POINT (-71.102 42.3739),42.37390,-71.10200,Mid-Cambridge
Lilly,Beagle Mix,POINT (-71.1347 42.3852),42.38520,-71.13470,Neighborhood Nine
Mowgli,Mixed Breed,POINT (-71.1215 42.3856),42.38560,-71.12150,Neighborhood Nine
Gracie,Labrador Retriever,POINT (-71.1256 42.389),42.38900,-71.12560,Neighborhood Nine
Clark,Beagle,POINT (-71.146 42.3955),42.39550,-71.14600,North Cambridge
Merlin,Border Collie,POINT (-71.0715 42.3714),42.37140,-71.07150,East Cambridge
Ruru,Mixed Breed,POINT (-71.1386 42.3857),42.38570,-71.13860,Neighborhood Nine
Jackson,Mixed Breed,POINT (-71.1402 42.3827),42.38270,-71.14020,West Cambridge
Moose,Mixed Breed,POINT (-71.1249 42.3765),42.37650,-71.12490,West Cambridge
Copper,Mixed Breed,POINT (-71.1085 42.3694),42.36940,-71.10850,Riverside
Willow,Beagle,POINT (-71.1038 42.3673),42.36730,-71.10380,Cambridgeport
Hector,Great Dane,POINT (-71.0762 42.3709),42.37090,-71.07620,East Cambridge
Rory,Goldendoodle,POINT (-71.0893 42.3634),42.36340,-71.08930,Area 2/MIT
Harper,mini goldendoodle,POINT (-71.1136 42.3668),42.36680,-71.11360,Riverside
Fiona,Mixed Breed,POINT (-71.1093 42.3647),42.36470,-71.10930,Riverside
Tre,Canine,POINT (-71.1028 42.3657),42.36570,-71.10280,The Port
Oakie,Goldendoodle,POINT (-71.1258 42.3883),42.38830,-71.12580,Neighborhood Nine
Acey,Labradoodle,POINT (-71.1389 42.3772),42.37720,-71.13890,West Cambridge
Roscoe,Mixed Breed,POINT (-71.1306 42.3967),42.39670,-71.13060,North Cambridge
Tandy,Australian Cattle Dog,POINT (-71.1241 42.3868),42.38680,-71.12410,Neighborhood Nine
Spanky,Labradoodle,POINT (-71.1458 42.3942),42.39420,-71.14580,Cambridge Highlands
Sydney Salguero,Labraddoodle,POINT (-71.1507 42.3764),42.37640,-71.15070,Strawberry Hill
Pretzel,Mixed Breed,POINT (-71.1247 42.382),42.38200,-71.12470,Neighborhood Nine
Crosby,LABRADOODLE,POINT (-71.1446 42.3795),42.37950,-71.14460,West Cambridge
Shiloh,Mixed Breed,POINT (-71.1334 42.3979),42.39790,-71.13340,North Cambridge
Brody,Mixed Breed,POINT (-71.0785 42.373),42.37300,-71.07850,East Cambridge
Yoda,Jack Russell Terrier,POINT (-71.0818 42.3664),42.36640,-71.08180,East Cambridge
Morgan,Mixed Breed,POINT (-71.1371 42.3864),42.38640,-71.13710,West Cambridge
Rufus,Labradoodle,POINT (-71.1094 42.3582),42.35820,-71.10940,Cambridgeport
Tulip,Mixed Breed,POINT (-71.0959 42.367),42.36700,-71.09590,The Port
Bailey,Australian Kelpie Mix,POINT (-71.1303 42.3979),42.39790,-71.13030,North Cambridge
FIONA,Mixed Breed,POINT (-71.1104 42.3626),42.36260,-71.11040,Cambridgeport
Captain,Maltese Shih Tzu,POINT (-71.073 42.372),42.37200,-71.07300,East Cambridge
Mando,Australian Kelpie,POINT (-71.1224 42.3796),42.37960,-71.12240,Neighborhood Nine
Sadie,Mixed Breed,POINT (-71.1024 42.3712),42.37120,-71.10240,Mid-Cambridge
COCO,German Shorthaired Pointer,POINT (-71.132 42.3964),42.39640,-71.13200,North Cambridge
Bowser (Ziggy),Mini poodle,POINT (-71.0893 42.363),42.36300,-71.08930,Area 2/MIT
Ginger,GREYHOUND,POINT (-71.1552 42.3922),42.39220,-71.15520,Cambridge Highlands
Ruby,Bernese Mountain Dog,POINT (-71.0916 42.3706),42.37060,-71.09160,Wellington-Harrington
Sully,Goldendoodle,POINT (-71.1322 42.3844),42.38440,-71.13220,Neighborhood Nine
Peacock,Shih Tzu,POINT (-71.1302 42.3934),42.39340,-71.13020,North Cambridge
Hodge,Pembroke Welsh Corgi,POINT (-71.1056 42.3546),42.35460,-71.10560,Cambridgeport
TOBY,Bernese Mountain Dog,POINT (-71.1249 42.3731),42.37310,-71.12490,West Cambridge
Darwin,Labrador Retriever,POINT (-71.1293 42.3962),42.39620,-71.12930,North Cambridge
Mochi,West Highland White Terrier,POINT (-71.1283 42.3865),42.38650,-71.12830,Neighborhood Nine
Herbie Meatball Hancock,Mixed Breed,POINT (-71.1022 42.3587),42.35870,-71.10220,Cambridgeport
SOOPER DOG P'BOY,Shar Pei X,POINT (-71.1373 42.3977),42.39770,-71.13730,North Cambridge
MAYBEL,Chihuahua X,POINT (-71.0834 42.3723),42.37230,-71.08340,East Cambridge
Chance,Mixed Breed,POINT (-71.0913 42.3659),42.36590,-71.09130,Wellington-Harrington
Kima,Labrador Retriever  Mix,POINT (-71.1008 42.3731),42.37310,-71.10080,Mid-Cambridge
Tello,Poodle,POINT (-71.1295 42.3769),42.37690,-71.12950,West Cambridge
Rolo,Havanese,POINT (-71.1383 42.3811),42.38110,-71.13830,West Cambridge
LOLA,English Cocker Spaniel,POINT (-71.131 42.3895),42.38950,-71.13100,North Cambridge
Obi,Australian Shepherd,POINT (-71.1055 42.3579),42.35790,-71.10550,Cambridgeport
Luna Branham,Australian Cattle Dog,POINT (-71.1317 42.3997),42.39970,-71.13170,North Cambridge
SADIE,TERRIER X,POINT (-71.1336 42.3925),42.39250,-71.13360,North Cambridge
Saint,Mixed Breed,POINT (-71.1352 42.401),42.40100,-71.13520,North Cambridge
Mungo,Treeing Tennessee Brindle,POINT (-71.1023 42.3705),42.37050,-71.10230,Mid-Cambridge
Oscar Madison,Golden Doodle,POINT (-71.1192 42.3868),42.38680,-71.11920,Baldwin
Ruthie,Blue Heeler Mix,POINT (-71.1368 42.3977),42.39770,-71.13680,North Cambridge
Sophie,Miniature Schnauzer,POINT (-71.0884 42.37),42.37000,-71.08840,Wellington-Harrington
OLIVER,Basset Hound,POINT (-71.133 42.3789),42.37890,-71.13300,West Cambridge
Luna,Mixed Breed,POINT (-71.1117 42.3601),42.36010,-71.11170,Cambridgeport
Tuck,Mixed Breed,POINT (-71.0833 42.3748),42.37480,-71.08330,East Cambridge
Ollie,Golden Retriever,POINT (-71.1306 42.3782),42.37820,-71.13060,West Cambridge
Ender,Beagle,POINT (-71.0922 42.3675),42.36750,-71.09220,Wellington-Harrington
Lainey,BEAGLE,POINT (-71.1276 42.3994),42.39940,-71.12760,North Cambridge
Meredith,Mixed Breed,POINT (-71.109 42.3616),42.36160,-71.10900,Cambridgeport
CHARLIE,LABRADOR RETREIVER,POINT (-71.104 42.3699),42.36990,-71.10400,Mid-Cambridge
Tucker,English Springer Spaniel,POINT (-71.1054 42.3681),42.36810,-71.10540,Mid-Cambridge
Tagalong,LAB   MIX,POINT (-71.1364 42.3841),42.38410,-71.13640,Neighborhood Nine
Ava,Labrador Retriever,POINT (-71.1224 42.3819),42.38190,-71.12240,Neighborhood Nine
Sugar Pie,Mixed Breed,POINT (-71.1539 42.3776),42.37760,-71.15390,Strawberry Hill
Luna Tallon,Labradoodle,POINT (-71.1302 42.3926),42.39260,-71.13020,North Cambridge
Chase,Mixed Breed,POINT (-71.1063 42.3712),42.37120,-71.10630,Mid-Cambridge
Coco,Golden Retriever,POINT (-71.1519 42.4011),42.40110,-71.15190,North Cambridge
Toby,Australian Shepherd,POINT (-71.1246 42.378),42.37800,-71.12460,Neighborhood Nine
Mowgli,Poodle,POINT (-71.1228 42.3904),42.39040,-71.12280,Neighborhood Nine
KILEY,Wheaton Terrier,POINT (-71.1233 42.3799),42.37990,-71.12330,Neighborhood Nine
sherry,Labrador Retriever,POINT (-71.134 42.3822),42.38220,-71.13400,West Cambridge
Mochi,Chow Chow,POINT (-71.1189 42.3931),42.39310,-71.11890,North Cambridge
Lizzy,Mixed Breed,POINT (-71.1486 42.3967),42.39670,-71.14860,North Cambridge
Brodie,Golden Retriever,POINT (-71.1216 42.3881),42.38810,-71.12160,North Cambridge
Olive,Bernedoodle,POINT (-71.1221 42.3798),42.37980,-71.12210,Neighborhood Nine
Raymond,Mixed Breed,POINT (-71.1082 42.3745),42.37450,-71.10820,Mid-Cambridge
Penny,Mixed Breed,POINT (-71.0896 42.3736),42.37360,-71.08960,Wellington-Harrington
Ryder,Standard Poodle,POINT (-71.1347 42.3756),42.37560,-71.13470,West Cambridge
Brioche,Pomeranian,POINT (-71.1069 42.3727),42.37270,-71.10690,Mid-Cambridge
Sugar,Mixed Breed,POINT (-71.136 42.3933),42.39330,-71.13600,North Cambridge
COCO,Springer Spaniel,POINT (-71.1251 42.3821),42.38210,-71.12510,Neighborhood Nine
Nala,Mixed Breed,POINT (-71.1104 42.3748),42.37480,-71.11040,Mid-Cambridge
Pippi,Yorkipoo,POINT (-71.1279 42.386),42.38600,-71.12790,Neighborhood Nine
Jarvis,French Bulldog,POINT (-71.1382 42.385),42.38500,-71.13820,West Cambridge
Oliver,Pembroke Welsh Corgi,POINT (-71.0864 42.373),42.37300,-71.08640,East Cambridge
Dora,Pug,POINT (-71.1414 42.3911),42.39110,-71.14140,North Cambridge
Penny,Black Mouth Cur,POINT (-71.1374 42.381),42.38100,-71.13740,West Cambridge
Mia,Greyhound,POINT (-71.0764 42.3737),42.37370,-71.07640,East Cambridge
Lilo,Mixed Breed,POINT (-71.0724 42.3737),42.37370,-71.07240,East Cambridge
FRED,POODLE,POINT (-71.1481 42.3756),42.37560,-71.14810,Strawberry Hill
Cooper,Mixed Breed,POINT (-71.1461 42.3941),42.39410,-71.14610,North Cambridge
Maybelle,Labradoodle,POINT (-71.1359 42.3949),42.39490,-71.13590,North Cambridge
SMOKEY,Labrador Retriever Mix,POINT (-71.1224 42.3736),42.37360,-71.12240,West Cambridge
Bailey,Australian Cattle Dog,POINT (-71.1098 42.3595),42.35950,-71.10980,Cambridgeport
Josie Fahnestock,Mixed Breed,POINT (-71.1452 42.38),42.38000,-71.14520,West Cambridge
Luna,Siberian Husky,POINT (-71.1111 42.3637),42.36370,-71.11110,Riverside
ALLI,Australian  Shepherd X,POINT (-71.1399 42.3851),42.38510,-71.13990,West Cambridge
Maisie,Australian Cattle Dog,POINT (-71.1476 42.3754),42.37540,-71.14760,West Cambridge
Bitsy,Chihuahua,POINT (-71.1439 42.3955),42.39550,-71.14390,North Cambridge
Kaya May Magandang Kalooban Dakila,Doberman Pinscher,POINT (-71.0855 42.3717),42.37170,-71.08550,East Cambridge
Sadie,Soft Coated Wheaten Terrier,POINT (-71.1198 42.3873),42.38730,-71.11980,North Cambridge
Agnes,French Bulldog,POINT (-71.1223 42.3875),42.38750,-71.12230,Neighborhood Nine
Skylar Deming,Goldendoodle,POINT (-71.1212 42.3698),42.36980,-71.12120,Riverside
Teddy,Mixed Breed,POINT (-71.0712 42.3733),42.37330,-71.07120,East Cambridge
Negri,Chihuahua,POINT (-71.0806 42.3694),42.36940,-71.08060,East Cambridge
Chloe,Bernedoodle,POINT (-71.1402 42.3824),42.38240,-71.14020,West Cambridge
TYLER,Boxer  Mix,POINT (-71.1567 42.393),42.39300,-71.15670,Cambridge Highlands
MAISIE,Mixed Breed,POINT (-71.1061 42.3698),42.36980,-71.10610,Mid-Cambridge
Fred,Polish Lowland Sheepdog,POINT (-71.1318 42.3768),42.37680,-71.13180,West Cambridge
Bernese Sanders,Bernese Mountain Dog,POINT (-71.1337 42.3923),42.39230,-71.13370,North Cambridge
Franny,Shep Mix,POINT (-71.1193 42.3862),42.38620,-71.11930,Neighborhood Nine
JACK,Golden Retriever X,POINT (-71.1109 42.3617),42.36170,-71.11090,Cambridgeport
Coco,Mixed Breed,POINT (-71.094 42.3666),42.36660,-71.09400,The Port
King Shaka Zulu,Poodle,POINT (-71.1327 42.3996),42.39960,-71.13270,North Cambridge
Lola,Goldendoodle,POINT (-71.105 42.363),42.36300,-71.10500,Cambridgeport
ollie,Golden Retriever,POINT (-71.1326 42.4022),42.40220,-71.13260,North Cambridge
Luna,"AKITA, JAPANESE",POINT (-71.108 42.3696),42.36960,-71.10800,Riverside
Miko,American Staffordshire Terrier,POINT (-71.0918 42.3716),42.37160,-71.09180,Wellington-Harrington
JUNE BUG,Schnauzer Mix,POINT (-71.111 42.365),42.36500,-71.11100,Riverside
Tina,Shiba Inu,POINT (-71.1132 42.3707),42.37070,-71.11320,Mid-Cambridge
Moggin,Labrador Retriever,POINT (-71.1393 42.3746),42.37460,-71.13930,West Cambridge
MAGNOLIA,TERRIER X,POINT (-71.1313 42.3951),42.39510,-71.13130,North Cambridge
Loki,Mixed Breed,POINT (-71.1482 42.3773),42.37730,-71.14820,West Cambridge
DAKOTA,Portuguese  Water  Dog,POINT (-71.1123 42.3657),42.36570,-71.11230,Riverside
HONEY,Golden  Retriever,POINT (-71.1401 42.3769),42.37690,-71.14010,West Cambridge
Remi,German Shorthaired Pointer,POINT (-71.1122 42.362),42.36200,-71.11220,Cambridgeport
Olwyn,Pembroke Welsh Corgi,POINT (-71.1293 42.3882),42.38820,-71.12930,Neighborhood Nine
Remington,Malti Poo,POINT (-71.1259 42.3775),42.37750,-71.12590,Neighborhood Nine
snickers,pug,POINT (-71.0765 42.3688),42.36880,-71.07650,East Cambridge
