Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked,Neighborhood
Nico,Siberian Husky,POINT (-71.105 42.357),42.35700,-71.10500,Cambridgeport
Pixel,Australian Shepherd,POINT (-71.1069 42.3693),42.36930,-71.10690,Mid-Cambridge
HOBBES,GREYHOUND,POINT (-71.104 42.3752),42.37520,-71.10400,Mid-Cambridge
Bo,Mixed Breed,POINT (-71.142 42.3962),42.39620,-71.14200,North Cambridge
Brett,Labrador Retriever,POINT (-71.1018 42.3635),42.36350,-71.10180,Cambridgeport
Arya,Mixed Breed,POINT (-71.1331 42.397),42.39700,-71.13310,North Cambridge
Henry,Whippet,POINT (-71.1238 42.3934),42.39340,-71.12380,North Cambridge
Jegna,Golden Retriever,POINT (-71.1445 42.3913),42.39130,-71.14450,Cambridge Highlands
Pebbles,Chihuahua,POINT (-71.1296 42.3951),42.39510,-71.12960,North Cambridge
Cocoa,Cockapoo,POINT (-71.1104 42.3609),42.36090,-71.11040,Cambridgeport
Xo,Poodle (Miniature),POINT (-71.0755 42.37),42.37000,-71.07550,East Cambridge
Charlie,Bichon Frise,POINT (-71.1373 42.3804),42.38040,-71.13730,West Cambridge
Luna,Goldendoodle,POINT (-71.1413 42.377),42.37700,-71.14130,West Cambridge
Gretta,Mixed Breed,POINT (-71.1044 42.3691),42.36910,-71.10440,Mid-Cambridge
DARCY,MINIATURE SCHNAUZER,POINT (-71.1248 42.3923),42.39230,-71.12480,North Cambridge
Nova,French Bulldog,POINT (-71.1462 42.3967),42.39670,-71.14620,North Cambridge
Shiva,Poodle,POINT (-71.1052 42.3716),42.37160,-71.10520,Mid-Cambridge
Luna,American Eskimo Dog,POINT (-71.1273 42.3868),42.38680,-71.12730,Neighborhood Nine
Max,Golden Retriever,POINT (-71.1043 42.3599),42.35990,-71.10430,Cambridgeport
Ripple Keats,Nova Scotia Duck Tolling Retriever,POINT (-71.1502 42.3773),42.37730,-71.15020,Strawberry Hill
Staley,Mixed Breed,POINT (-71.1524 42.3791),42.37910,-71.15240,Strawberry Hill
LEVON,Labrador Retriever Mix,POINT (-71.138 42.3818),42.38180,-71.13800,West Cambridge
BOO BOO,Mix,POINT (-71.1318 42.399),42.39900,-71.13180,North Cambridge
Zuzu,Shetland Sheepdog,POINT (-71.1409 42.3813),42.38130,-71.14090,West Cambridge
Packer,Goldendoodle,POINT (-71.1047 42.3551),42.35510,-71.10470,Area 2/MIT
CHEWIE,Labrador Retriever,POINT (-71.1058 42.3582),42.35820,-71.10580,Cambridgeport
Keikei,Boston Terrier,POINT (-71.1516 42.3785),42.37850,-71.15160,Strawberry Hill
Miller,Mixed Breed,POINT (-71.1115 42.3582),42.35820,-71.11150,Cambridgeport
Chewie,Mixed Breed,POINT (-71.1343 42.3975),42.39750,-71.13430,North Cambridge
Zena,Shih Tzu,POINT (-71.1165 42.3829),42.38290,-71.11650,Baldwin
Tess,Bichon Frise,POINT (-71.1227 42.3826),42.38260,-71.12270,Neighborhood Nine
Maverick,Mixed Breed,POINT (-71.1245 42.3941),42.39410,-71.12450,North Cambridge
Milo,Boston Terrier,POINT (-71.0933 42.3679),42.36790,-71.09330,The Port
Pluto,Mixed Breed,POINT (-71.1089 42.3644),42.36440,-71.10890,Riverside
Waffles,Goldendoodle,POINT (-71.1499 42.3981),42.39810,-71.14990,North Cambridge
Elmo,Golden Retriever,POINT (-71.0836 42.3641),42.36410,-71.08360,East Cambridge
Hercules,Cavalier King Charles Spaniel,POINT (-71.1233 42.3901),42.39010,-71.12330,Neighborhood Nine
Isabella Maria (Izzy),Lagotto Romagnolo,POINT (-71.1105 42.3743),42.37430,-71.11050,Mid-Cambridge
Wesley,Labrador Retriever,POINT (-71.0834 42.3678),42.36780,-71.08340,East Cambridge
Roxy,Mixed Breed,POINT (-71.0768 42.3623),42.36230,-71.07680,East Cambridge
Eliza,Mixed Breed,POINT (-71.1033 42.3705),42.37050,-71.10330,Mid-Cambridge
Emma,Labrador Retriever,POINT (-71.1265 42.3823),42.38230,-71.12650,Neighborhood Nine
Arlo,Labrador Retriever,POINT (-71.1036 42.3728),42.37280,-71.10360,Mid-Cambridge
Ozzie,Mixed Breed,POINT (-71.1302 42.3849),42.38490,-71.13020,Neighborhood Nine
Winston,Mixed Breed,POINT (-71.1122 42.3603),42.36030,-71.11220,Cambridgeport
Jackson,Jack Russell Terrier,POINT (-71.1019 42.3706),42.37060,-71.10190,Mid-Cambridge
SALLY,Labrador Retriever X,POINT (-71.1106 42.3583),42.35830,-71.11060,Cambridgeport
Duncan,Cairn Terrier,POINT (-71.1189 42.3914),42.39140,-71.11890,North Cambridge
Dobby,Mixed Breed,POINT (-71.122 42.3837),42.38370,-71.12200,Neighborhood Nine
Mango,Soft Coated Wheaten Terrier,POINT (-71.1174 42.3838),42.38380,-71.11740,Baldwin
BELLA,Shep X,POINT (-71.1148 42.3838),42.38380,-71.11480,Baldwin
Bingley,Cavalier King Charles Spaniel,POINT (-71.1267 42.3922),42.39220,-71.12670,North Cambridge
MISTY,Hound X,POINT (-71.1315 42.3899),42.38990,-71.13150,North Cambridge
Colby,Golden  Retriever,POINT (-71.1378 42.3827),42.38270,-71.13780,West Cambridge
Penny,Mixed Breed,POINT (-71.1252 42.385),42.38500,-71.12520,Neighborhood Nine
Leia,Mixed Breed,POINT (-71.1228 42.3814),42.38140,-71.12280,Neighborhood Nine
California Hope,Mixed Breed,POINT (-71.1133 42.3635),42.36350,-71.11330,Cambridgeport
Ella,Newfoundland,POINT (-71.1249 42.3875),42.38750,-71.12490,Neighborhood Nine
Elvis,Hound  Mix,POINT (-71.1545 42.3777),42.37770,-71.15450,Strawberry Hill
Dori,Rat Terrier,POINT (-71.1303 42.3826),42.38260,-71.13030,Neighborhood Nine
George,Mixed Breed,POINT (-71.0815 42.3687),42.36870,-71.08150,East Cambridge
wolfie,Norwich Terrier,POINT (-71.1549 42.3793),42.37930,-71.15490,Strawberry Hill
Kevin,Great Dane,POINT (-71.1371 42.3868),42.38680,-71.13710,Neighborhood Nine
Pippi,Welsh Terrier,POINT (-71.0847 42.3672),42.36720,-71.08470,East Cambridge
Cashew,Mixed Breed,POINT (-71.0763 42.3726),42.37260,-71.07630,East Cambridge
Alpha,Border Collie,POINT (-71.0883 42.3652),42.36520,-71.08830,Area 2/MIT
Fiona,Golden Retriever,POINT (-71.1404 42.3937),42.39370,-71.14040,North Cambridge
KYRA,Labrador Retriever X,POINT (-71.1199 42.3814),42.38140,-71.11990,Neighborhood Nine
Tootsie,Mixed Breed,POINT (-71.1324 42.3937),42.39370,-71.13240,North Cambridge
